,name,year,seller_type,owner,km_driven,ex_showroom_price
11565,108,2013,1,2,350,234429.0
3684,231,2016,0,2,114038,30490.0
13435,160,2015,1,2,350,93025.75
11129,133,1995,1,1,117775,144908.0
20702,182,2018,1,0,350,207325.0
4661,252,2006,0,2,350,93025.75
29525,251,2003,0,0,58925,93025.75
16160,143,2010,0,3,101826,104045.0
10281,166,2011,1,1,29479,89456.0
6913,112,2002,1,0,350,93025.75
20840,14,1993,1,0,103883,154914.0
7403,60,2001,1,1,22851,93025.75
985,112,2006,0,2,8901,116736.0
1238,16,1990,1,0,88209,93025.75
15209,116,1999,0,2,350,93025.75
15145,139,2012,0,2,350,93025.75
26218,217,2012,1,2,51101,176040.0
8506,79,2015,1,1,350,116385.0
13131,249,2007,1,2,16604,38599.0
28174,175,2007,0,3,23241,112211.0
3892,50,2011,0,2,48279,117465.0
6109,112,2019,0,2,18200,93025.75
13081,191,2015,0,2,34221,187172.0
783,72,1995,1,0,88454,93025.75
23060,62,2002,0,2,22993,93025.75
20439,49,1997,1,1,350,162529.0
690,100,2002,1,2,12261,149965.0
4050,118,2004,0,2,16722,93025.75
6997,62,2007,0,2,53646,50260.0
5494,155,2007,0,0,8123,102506.0
9938,146,2008,1,0,350,61527.0
11380,185,2013,1,0,29684,149836.0
6292,103,2007,0,1,25931,30490.0
23503,274,1995,1,0,41116,108035.0
23967,128,2014,0,3,350,76692.0
23514,43,2004,1,0,62912,76009.0
27640,244,1990,1,0,193202,93025.75
16278,120,2006,1,2,350,93025.75
4655,172,1989,0,2,30005,93025.75
28590,169,1990,0,1,120095,113810.0
565,168,2006,0,2,35696,102099.0
1424,263,2013,0,1,56419,96298.0
16258,213,1996,0,1,74105,93025.75
7993,245,2006,0,2,28179,93025.75
20526,80,2000,0,2,16879,93025.75
15104,267,2001,1,0,350,93025.75
12787,183,2006,1,1,15015,93025.75
1626,191,1988,0,3,55355,104149.0
6208,184,2010,0,2,350,93025.75
11436,239,2006,0,2,350,93025.75
22525,267,2006,0,3,72286,93025.75
11268,216,2020,1,0,350,93025.75
26750,97,1997,1,2,54093,93025.75
27385,248,1990,1,0,104402,93025.75
13280,187,2012,0,2,30874,93025.75
20933,148,2005,0,3,29117,71407.0
22078,242,1995,0,2,350,42026.0
599,48,2016,0,3,350,93025.75
29720,243,2005,1,0,95859,134080.0
14385,242,2005,1,0,96234,81563.0
22648,41,2000,1,0,26949,93025.75
11687,145,2018,0,3,32860,30490.0
18596,62,1990,1,0,97183,57480.0
15245,36,2016,0,1,350,203867.0
26543,17,1990,0,1,45080,51022.0
6427,83,2001,1,1,48632,93025.75
3517,109,2015,0,1,350,93025.75
7508,126,1992,0,3,47832,93025.75
15382,58,2004,0,2,62503,146568.0
5757,20,2008,1,1,50462,93025.75
4311,261,2014,0,0,350,93025.75
26060,113,2013,1,1,732,40200.0
14687,46,2004,1,2,90412,30490.0
3993,148,2003,0,3,350,69951.0
137,27,2008,1,1,350,93025.75
11784,93,1994,0,2,63384,87701.0
3630,177,2017,0,1,4540,182283.0
16693,131,1989,1,0,104422,93025.75
3749,213,1992,1,1,101350,30490.0
15890,54,1996,1,0,18830,93025.75
18071,52,1993,1,3,12182,101052.0
6045,78,2009,0,1,350,44590.0
29490,74,2003,0,3,108072,93025.75
16391,19,2018,0,2,350,68188.0
1581,62,2006,1,0,89300,93025.75
9579,3,1994,0,2,39408,30490.0
23555,270,1993,1,0,10307,116654.0
8021,173,1991,1,0,50651,93139.0
28389,206,2018,0,1,61732,124860.0
19563,43,2020,0,2,350,93025.75
15386,35,1997,0,2,350,93025.75
22940,82,2014,0,2,57724,93025.75
29893,85,2000,1,1,4082,93025.75
12282,215,1990,1,0,22248,30490.0
25005,117,2005,0,3,49598,30490.0
14568,222,2004,1,0,158361,62263.0
26232,135,2015,1,0,350,30490.0
9521,29,2001,1,2,42827,154127.0
18765,26,1999,0,3,10587,93025.75
14458,222,2013,1,1,54757,30490.0
15678,176,1998,1,1,41325,64576.0
16770,87,1999,1,1,350,81324.0
23525,114,1997,0,1,3006,40609.0
13927,173,2004,1,0,43994,150009.0
7763,231,2020,1,0,14737,93025.75
28029,157,1989,0,3,111817,106464.0
16400,214,2007,1,0,350,93025.75
19932,267,2011,1,0,28427,93025.75
229,39,1989,1,0,13045,93025.75
17761,5,1998,1,1,350,76640.0
5961,148,1995,0,3,350,44785.0
26191,55,2015,1,2,350,93025.75
16752,120,2004,1,0,350,82151.0
5804,226,2007,1,2,90870,88960.0
594,78,1989,1,1,92443,114220.0
2488,114,2014,1,2,350,93025.75
6352,162,1998,1,1,44485,93025.75
17405,48,1991,0,0,47510,93025.75
21175,155,2000,1,2,20160,175396.0
13748,203,2004,0,3,39661,155979.0
7017,183,2008,1,1,8689,30711.0
6258,11,2013,1,0,10237,93025.75
15613,234,2018,0,0,50563,93025.75
4157,243,2002,0,1,77189,47340.0
5762,215,2004,1,0,23899,109587.0
23266,157,2014,0,2,350,93025.75
714,85,2015,1,1,33220,93025.75
7355,173,2009,1,0,23897,36386.0
12541,22,1988,1,2,97972,93025.75
17249,89,2013,1,2,86722,99244.0
17935,145,2009,0,3,350,154636.0
25492,238,1997,1,0,25005,93025.75
3874,270,2002,0,1,44353,93025.75
20083,29,2008,1,2,350,222954.0
2890,154,2018,0,3,350,136819.0
28557,62,1991,1,0,69606,93025.75
28330,69,2007,0,0,11963,92417.0
21756,155,2007,1,2,67390,101906.0
5423,21,2009,1,1,43173,93025.75
13283,162,2016,0,0,350,187041.0
7746,213,2011,1,0,34942,46110.0
17154,167,2006,1,1,6352,93025.75
21964,61,2006,1,2,350,124867.0
29148,119,2005,1,2,47503,30490.0
29357,185,2004,0,2,350,119234.0
18235,126,2019,0,1,350,109112.0
3205,106,1996,0,1,30822,159692.0
15756,15,2003,0,2,62495,93025.75
8566,237,1989,0,2,44927,93025.75
14695,85,2012,1,0,350,93025.75
28528,251,1995,1,0,1869,93025.75
3699,226,2006,1,2,3316,32182.0
3052,267,2002,1,0,47335,95994.0
19267,249,2003,0,3,26820,51735.0
13228,205,1993,1,1,36993,93025.75
25446,98,2008,0,1,104804,93025.75
2715,124,2001,0,3,350,93025.75
23001,216,1990,1,2,157865,93025.75
14800,216,1994,1,0,24793,93025.75
20420,262,1994,1,2,64904,96983.0
2666,125,1996,0,3,350,93025.75
9981,0,2006,0,2,6145,100287.0
448,232,2018,0,1,350,124432.0
11839,6,1991,1,2,131946,30490.0
21447,68,1997,1,1,350,93025.75
14666,25,2019,0,0,52443,68872.0
22123,197,2007,0,1,24088,61622.0
16,264,1989,0,1,47253,93025.75
15578,129,2008,1,2,84473,93025.75
11427,121,1991,0,2,49438,58946.0
29874,58,2009,1,0,42293,93025.75
2206,119,2002,0,1,350,93025.75
11707,108,2013,0,0,8991,73308.0
15681,14,2000,0,1,94260,93025.75
13802,65,2005,0,1,29197,93025.75
23557,84,2006,0,3,350,186614.0
119,172,2015,1,0,76481,93025.75
23227,256,1996,1,0,60397,93025.75
11564,47,2008,1,0,25715,93025.75
25153,270,1989,0,3,50899,68313.0
5499,0,2011,1,0,75872,148301.0
20844,65,2008,1,2,69468,30490.0
7190,272,1992,1,0,88701,30490.0
12132,157,2013,1,2,350,93025.75
24096,246,2020,1,0,350,93025.75
13174,11,2008,0,1,32662,93025.75
6381,146,2005,1,1,76502,93025.75
13613,242,2003,0,1,16728,93025.75
9493,55,2011,0,2,15701,166905.0
19560,62,1998,1,0,74117,166637.0
11448,109,2001,0,2,350,126234.0
8730,69,1994,0,3,114637,30490.0
17983,55,1998,1,1,54045,150052.0
879,43,1992,1,2,64791,94308.0
19071,238,2013,1,0,21629,93025.75
20190,239,1989,0,1,49327,30490.0
17793,265,2016,0,3,32792,182098.0
25416,200,2004,1,0,22272,30490.0
24082,97,1988,0,3,62525,93025.75
11574,10,2004,1,1,20723,205864.0
6750,140,1990,0,2,117885,115011.0
27114,26,2019,0,3,13286,93025.75
27041,65,1997,0,3,350,93025.75
2222,184,2006,0,2,4974,116512.0
5768,38,1995,1,2,36368,43431.0
12401,268,2010,0,2,20040,93025.75
19667,130,2007,1,1,23204,77419.0
24728,62,2019,0,1,350,93025.75
11419,38,2014,0,0,61558,132251.0
21720,115,2018,1,0,13973,107281.0
16486,133,2020,0,2,350,168598.0
23204,112,1998,0,1,350,93025.75
25611,175,1998,1,1,66790,93025.75
5141,188,1994,0,1,350,93025.75
18196,251,1994,1,0,77958,93025.75
8253,267,2012,0,2,4864,116735.0
22655,275,1989,1,2,110030,139705.0
29633,83,2000,0,3,100627,93025.75
11252,245,2004,0,2,111839,30490.0
29370,233,2000,1,1,28518,118104.0
27855,133,2010,0,2,64078,93025.75
25913,236,2004,0,3,96924,93025.75
2572,58,2007,1,1,151312,71697.0
4794,259,2012,1,1,28610,93025.75
7506,254,1992,0,2,58959,93025.75
24889,198,2015,0,1,15367,42951.0
16618,74,1997,0,3,12008,120295.0
20519,121,2002,0,1,47596,104782.0
10139,205,2009,0,1,350,30490.0
14430,11,1999,1,0,65571,93025.75
8852,250,2010,0,2,42065,37894.0
26662,84,1997,1,0,152582,184771.0
17253,42,2001,1,1,117345,30490.0
22313,24,2018,0,2,350,130794.0
9181,229,2009,1,1,350,93025.75
25747,28,2007,1,0,99496,93025.75
1835,272,2019,0,0,350,98477.0
12209,76,1993,1,2,36906,93025.75
25852,63,2005,1,1,30041,184206.0
3928,15,2009,1,0,11340,93025.75
24453,83,2007,1,0,97805,93025.75
25794,32,2001,0,1,13442,83862.0
1387,52,2006,0,1,350,93025.75
25774,236,1992,1,0,81246,67576.0
14261,273,2011,0,2,11912,87580.0
13005,0,1993,1,0,120506,93025.75
26677,199,2019,0,2,32924,30490.0
22039,35,2004,0,2,2189,92622.0
3465,153,2020,1,0,350,93025.75
5274,209,1989,1,2,64826,30490.0
15831,86,1991,1,1,85788,93025.75
23381,0,2014,1,0,17721,151150.0
20498,36,2000,0,1,845,93025.75
27015,272,2006,0,2,21390,93025.75
225,196,1989,1,0,58452,93025.75
18928,31,2015,0,2,350,201453.0
28543,165,1998,0,1,16399,142527.0
9335,249,2000,0,2,350,121873.0
29401,104,2000,0,3,350,93025.75
12518,25,1994,1,0,72661,113923.0
19161,108,1992,0,0,20474,93025.75
8186,133,1998,1,1,64129,79048.0
14562,125,2002,0,3,9133,30490.0
26504,47,2013,1,1,70621,56592.0
24897,240,1995,1,0,54335,93025.75
15935,87,2001,0,0,66894,93025.75
16996,86,2019,0,0,22682,93025.75
17335,214,2018,0,2,52058,93025.75
16664,89,2007,0,2,31917,93025.75
10633,120,1996,0,1,37875,93025.75
22831,229,2005,0,1,112314,87572.0
27589,125,2019,0,0,37391,93025.75
467,30,1999,1,1,58166,93025.75
13607,22,2008,1,0,350,126687.0
23468,199,2011,1,1,350,93025.75
5583,244,2018,0,1,350,30490.0
10928,151,2019,0,0,9583,93025.75
7006,235,2005,1,0,77985,93025.75
10808,59,1993,1,0,38259,157904.0
25625,58,2010,0,3,73628,93025.75
17882,50,1994,0,0,89778,93025.75
3479,208,2011,0,2,83341,93025.75
29956,264,1993,0,1,17668,178900.0
4684,44,2000,0,1,80066,93025.75
2786,10,2014,1,2,70185,93025.75
14766,246,1995,1,2,65037,90093.0
10489,15,1998,1,2,80730,30490.0
25137,21,2006,0,2,32266,93025.75
17659,262,2002,1,0,350,83964.0
24416,177,2017,0,2,81790,111398.0
5048,186,2002,1,1,75393,105787.0
5500,240,2008,1,0,45949,93025.75
21903,46,2007,1,0,8703,46824.0
583,106,1988,1,0,74469,93025.75
27857,243,2011,0,1,59919,93025.75
28939,278,2016,0,0,53938,116548.0
22469,265,2006,0,2,18648,56648.0
1794,76,2016,0,2,350,113702.0
1023,52,1990,0,1,105895,30490.0
29143,44,2007,0,3,91968,129560.0
6656,100,2000,1,2,51629,93025.75
18372,77,2015,1,0,350,93025.75
28313,48,2017,0,1,350,134821.0
11168,33,1995,0,0,40898,60175.0
10147,143,2004,0,2,73814,102177.0
10025,94,2004,0,2,72401,160320.0
23806,121,2009,0,2,350,187480.0
23427,39,1995,1,1,46673,93025.75
5765,117,2007,1,0,350,93025.75
17216,135,1997,1,0,19618,110933.0
27213,52,1999,1,1,81961,93025.75
28780,118,2017,1,1,81102,93025.75
2193,206,2007,0,3,31013,35835.0
2577,71,2001,1,0,350,93025.75
14203,0,1989,0,3,70920,30490.0
20493,105,2008,1,0,93915,115073.0
3884,88,1998,0,2,95729,93025.75
23804,117,2002,0,2,22815,93025.75
6566,18,2003,1,0,123093,30490.0
9507,83,2019,0,3,67111,30490.0
24663,172,2007,1,0,70111,139139.0
203,119,2010,1,0,350,98882.0
22318,158,1995,1,1,94393,97462.0
14240,112,1990,0,1,53873,93025.75
22700,144,2019,0,2,350,93025.75
14441,87,2018,1,1,350,64510.0
9953,84,2002,0,0,19893,93025.75
7304,88,2015,1,0,28619,71870.0
20994,89,2012,1,0,47692,30490.0
23887,59,2017,1,0,34021,93025.75
5770,119,2005,1,0,350,93025.75
15010,72,2000,1,0,45656,93025.75
26824,91,2015,1,0,37015,89556.0
1645,152,2015,1,1,350,93025.75
28754,12,2020,1,0,350,93025.75
28159,262,1992,1,1,31173,209365.0
3452,143,2001,0,1,26587,30490.0
4142,192,1989,0,3,157241,106994.0
12426,273,2003,1,1,40496,79866.0
3880,102,1989,0,1,50710,30490.0
9014,114,2019,0,0,350,93025.75
7284,179,1999,0,1,350,30490.0
3444,207,2018,1,0,350,73382.0
18246,161,1993,0,3,143448,93025.75
4554,114,2004,1,1,99726,30490.0
21001,248,1994,1,1,32771,40414.0
11934,155,2006,0,1,350,93025.75
14091,219,1994,1,1,40852,80602.0
24327,154,2019,0,1,350,116268.0
17022,110,1991,0,2,103189,41391.0
13149,256,2013,1,0,93512,157250.0
1456,239,2014,0,3,350,93025.75
21110,177,1998,1,2,86803,93025.75
2670,186,1992,0,1,121020,115627.0
8354,261,1997,1,1,65157,30490.0
25939,14,2009,0,2,91103,78981.0
2029,132,1991,1,0,350,93025.75
21259,33,2011,0,2,16574,30490.0
14808,151,1995,0,1,104817,96532.0
7867,197,2014,0,2,350,93025.75
15295,272,2008,1,0,40433,83684.0
14756,31,1990,0,1,129718,78146.0
13198,226,1999,0,1,39830,79442.0
26215,109,2020,0,2,31244,88828.0
5925,231,1989,1,0,93258,30490.0
6415,273,2009,1,0,34362,185661.0
19860,17,1989,1,1,121480,93025.75
15670,18,2009,0,1,33956,59562.0
9179,67,2002,1,2,350,93025.75
5874,195,1998,0,3,64001,32217.0
4910,242,2013,1,0,14461,131976.0
25449,255,2003,0,1,48127,72851.0
7388,148,2013,1,0,350,30490.0
214,231,1992,1,0,24861,30490.0
572,109,2013,1,0,3728,78251.0
1808,19,2009,0,2,102406,88145.0
19312,173,1994,1,2,84226,141164.0
16033,87,2010,0,1,20941,93025.75
27670,55,1990,0,1,111170,93025.75
16071,11,2002,0,2,350,93025.75
8835,97,2015,1,0,27073,30490.0
17576,56,1990,0,2,350,93025.75
20979,148,1990,1,1,106846,93025.75
14617,116,2008,1,2,110951,132525.0
29265,185,2008,0,1,60063,95050.0
16282,160,1993,1,2,1645,93025.75
5766,27,2000,0,2,17186,93025.75
7292,54,2017,0,2,6886,93025.75
7391,132,2010,1,2,34307,84215.0
3951,68,2019,1,1,10803,122310.0
3870,269,1991,0,0,28697,30490.0
7969,58,2016,1,1,58336,147053.0
21290,165,1996,1,0,84780,93025.75
24072,47,2015,0,2,350,93025.75
24457,158,1992,1,0,125512,68059.0
1109,197,1990,1,2,143194,176185.0
86,231,1994,1,2,12759,93025.75
21822,145,1995,0,1,125713,93025.75
17252,151,2019,0,2,350,150158.0
25812,269,2015,1,2,350,93025.75
10143,272,2014,1,1,36866,93025.75
27895,18,1996,0,0,7986,50917.0
4633,96,2000,0,3,66996,79499.0
4139,40,2016,0,0,102802,93025.75
2682,3,2018,1,0,61786,30490.0
24177,227,1992,1,0,123825,93025.75
29934,106,1993,1,0,80008,48257.0
21815,50,2005,0,1,350,35110.0
11159,166,1995,0,3,97356,93025.75
7800,31,2006,1,0,91674,30777.0
4018,150,1992,1,0,26187,93025.75
10992,259,2005,1,1,350,169749.0
16375,269,1989,1,0,109833,93025.75
20390,197,2013,1,0,16273,66121.0
5295,40,1997,0,3,350,138613.0
11182,182,2019,1,0,16306,38090.0
23517,26,2000,1,1,350,93025.75
12596,196,2004,0,3,53018,93025.75
19414,149,1990,0,1,55832,93025.75
24871,30,2006,1,1,350,150504.0
25948,183,1995,0,3,350,93025.75
16784,101,2003,1,1,4327,161815.0
13544,136,2012,0,3,1877,246938.0
3488,73,1988,0,3,87858,60155.0
19477,21,1991,0,2,91295,123997.0
26469,18,2018,1,2,350,107371.0
25015,227,1990,1,1,114667,59785.0
17556,207,1990,0,3,87790,93025.75
9071,232,2008,1,1,11407,93025.75
2797,10,2017,0,2,350,93025.75
6929,210,1994,0,3,84746,36091.0
6236,240,2019,0,1,350,93025.75
23477,48,1992,1,0,114828,93025.75
22159,24,2000,0,0,48638,159587.0
16052,250,2000,0,2,793,93025.75
26648,231,2003,0,0,69726,42804.0
25134,274,2012,0,3,42497,30490.0
11114,65,2007,0,0,86611,223959.0
11158,112,2004,0,2,350,93025.75
6130,220,2005,0,3,54944,72021.0
8694,113,2012,1,0,350,93025.75
8919,153,1993,0,1,31309,93025.75
15438,164,2008,1,1,71960,30490.0
20578,184,1995,0,3,13628,196143.0
13336,241,2011,0,2,109169,93025.75
1251,14,1990,1,0,22842,134295.0
25286,127,2001,0,2,350,93181.0
12945,48,2018,1,1,18729,93025.75
24588,26,2004,0,2,45441,78992.0
20760,172,1996,0,3,350,76439.0
4128,127,2016,0,1,350,93025.75
10534,245,2018,0,1,26128,96412.0
16601,23,2004,0,3,19853,93025.75
11878,71,1994,0,2,76998,93025.75
13917,229,1989,1,0,66421,30490.0
26549,258,1991,0,3,119138,57637.0
17646,161,2012,1,0,31725,127931.0
58,6,1995,1,2,350,45523.0
6887,134,2019,0,3,350,105449.0
10761,239,1995,1,2,35172,93146.0
27486,56,2012,1,2,1570,150008.0
13111,105,2012,0,2,350,132162.0
6973,198,1990,1,2,43615,161202.0
26689,32,2013,1,1,82198,93025.75
4384,51,2001,1,0,350,93025.75
8113,240,2012,0,1,50540,93025.75
7889,277,2009,1,0,350,106529.0
20936,219,1990,0,2,89832,30490.0
7846,147,2014,0,2,350,93025.75
15340,240,1994,0,1,83401,66383.0
20948,257,1988,0,1,350,93025.75
5909,147,2016,0,0,41034,119583.0
3499,263,2017,0,1,13257,125537.0
10455,149,2005,1,2,350,93025.75
5706,155,1990,0,0,48178,102655.0
18437,240,2002,0,3,25490,93025.75
16294,137,2003,1,1,350,112234.0
25302,152,2017,1,0,37349,30490.0
24894,61,2015,0,1,350,93025.75
5476,103,1990,0,2,89485,93025.75
17930,261,2001,1,0,110033,108325.0
14674,46,2004,1,1,67800,129194.0
24880,220,2012,1,0,27810,103946.0
5475,99,2001,0,2,32432,30490.0
14474,54,2013,1,2,41747,30490.0
7634,244,2011,1,0,350,133662.0
2185,199,1992,1,2,350,113503.0
4211,195,2006,1,1,350,93025.75
25367,221,1990,1,1,91020,93025.75
27029,134,2020,0,1,350,62614.0
671,257,1993,1,1,86120,93025.75
12626,142,1990,1,2,17824,224543.0
9268,13,1998,0,1,21181,51547.0
83,5,1992,1,0,47405,93025.75
28122,68,2017,0,3,350,107832.0
24261,268,1990,1,1,350,93025.75
19448,63,2019,1,0,350,160794.0
17314,30,2017,0,1,350,102338.0
13279,11,2001,1,0,57926,93025.75
2728,241,2001,1,1,26721,113886.0
23291,239,1998,1,0,43345,93025.75
16807,186,1992,1,0,48226,93025.75
19109,109,2009,1,1,32467,129497.0
9622,259,2002,1,1,64974,30490.0
21835,233,1998,0,1,18428,139367.0
13516,188,1998,0,0,350,30490.0
9508,34,1993,1,2,42042,105448.0
727,192,1990,1,0,218083,77014.0
26495,226,2003,1,1,32664,30490.0
11015,16,2007,0,2,350,30490.0
3807,236,2020,1,0,350,30490.0
3167,24,1994,1,1,27078,93372.0
5324,92,1992,1,1,68131,93025.75
495,189,2002,1,1,350,93025.75
6283,142,1996,1,0,71263,136883.0
10877,30,1994,1,0,77183,30490.0
4102,77,1997,1,1,75855,42351.0
23497,244,1999,0,2,142187,93025.75
280,166,1992,1,0,31389,144279.0
2705,259,2018,1,0,350,57261.0
8712,152,2017,1,1,100492,93025.75
12833,63,1999,0,1,44992,105710.0
19822,172,2006,0,3,9236,93025.75
13285,38,1988,1,1,71086,93025.75
23982,167,2015,0,2,40594,93025.75
25440,108,2002,0,1,54704,93025.75
15308,157,1993,0,1,7333,93025.75
16543,180,1996,0,3,127467,98007.0
26780,190,2005,1,0,71103,93025.75
20430,149,2007,1,0,48361,30490.0
5114,182,2014,0,1,350,112644.0
1946,19,2011,1,1,38178,93025.75
9717,198,2014,1,0,350,184033.0
8828,26,2013,0,2,34841,93025.75
29337,193,2018,1,1,45122,93025.75
23273,172,2019,0,1,350,93025.75
12624,130,2020,1,1,350,93025.75
25989,166,2019,0,1,62264,30490.0
20891,146,2004,0,2,138704,42862.0
18771,56,2001,0,2,63629,93025.75
9128,46,2006,1,1,350,93025.75
7424,140,2002,0,2,70179,107102.0
21560,77,1993,1,0,65940,93025.75
19397,32,2011,0,2,1872,30490.0
24373,169,2005,0,3,114454,93025.75
13707,183,1998,0,1,21290,93025.75
29176,9,2015,1,1,6634,30490.0
15971,162,2010,1,0,47680,120997.0
2250,249,2001,0,2,80056,72440.0
22095,265,2014,1,1,79965,93025.75
4683,68,2012,1,0,350,93025.75
20115,273,1993,1,2,83921,93025.75
4344,209,2004,0,2,13787,30490.0
15088,235,2015,0,1,350,93025.75
28407,137,2010,1,2,41446,93025.75
2448,36,2005,0,2,29968,93025.75
2782,19,2010,1,1,350,30490.0
22643,221,2017,1,0,350,93025.75
29556,257,2011,0,1,20987,134417.0
13146,160,2015,1,0,75087,101484.0
3073,277,1992,1,0,94744,93025.75
15574,264,2005,1,1,42594,93025.75
26536,84,1995,1,1,113449,93025.75
4884,265,2018,1,0,94726,93025.75
10214,192,2010,1,0,17267,106516.0
17741,125,2020,1,0,52789,119223.0
22797,141,2003,0,1,51252,93025.75
2260,195,1992,1,0,135367,75855.0
17116,238,2017,1,0,56603,93025.75
10618,30,1989,1,0,148280,30490.0
18465,176,2000,0,3,350,30490.0
15625,232,2010,0,2,350,93025.75
6643,30,2009,0,1,124896,40643.0
11750,128,2008,1,0,350,93025.75
8733,166,2017,0,1,16288,125474.0
13588,153,1998,1,0,350,36859.0
29021,76,2013,1,0,82098,116439.0
24392,41,2012,0,2,64753,30490.0
10580,119,1994,0,3,350,159805.0
27607,203,2007,0,2,350,131131.0
5065,171,1990,0,2,350,87433.0
8481,183,2012,1,0,15256,93025.75
28430,13,1998,1,1,20265,30490.0
23016,51,2003,0,3,75253,93025.75
13497,208,2003,0,2,50421,93999.0
19233,210,2004,0,3,3821,47260.0
22026,93,1990,0,2,27148,93025.75
26089,273,1988,0,2,53401,32919.0
23413,185,2006,0,2,350,188675.0
11444,123,2013,0,0,54625,199607.0
12662,268,2014,0,3,350,93025.75
23693,41,2015,1,0,350,93025.75
7938,183,2019,0,3,350,114768.0
29256,14,2012,0,2,350,93025.75
1157,146,2004,1,0,350,30490.0
15416,222,2000,0,1,350,93025.75
29970,191,1997,0,2,52221,74648.0
629,39,2018,0,2,16990,92420.0
10998,96,2001,1,2,37882,234062.0
396,161,2012,0,1,15920,93025.75
11821,0,2009,0,1,85271,93852.0
20932,148,1997,0,2,55775,71156.0
1168,134,2008,0,3,21342,93025.75
2248,117,2020,1,0,350,93025.75
13264,64,2020,1,0,26292,93025.75
15814,79,1989,1,1,87162,126034.0
19500,214,2002,1,0,36801,80629.0
16482,271,2018,0,2,350,121054.0
5903,263,2016,1,0,18924,186059.0
20814,125,2019,0,1,350,39331.0
19314,93,2003,1,0,350,93522.0
15986,156,2014,0,1,350,93025.75
24969,274,2017,1,0,75464,93025.75
21966,170,2016,0,1,350,106840.0
24149,209,2009,0,1,25432,93025.75
11457,207,1993,1,1,15524,134759.0
3571,131,2008,0,1,49603,30490.0
26738,84,1997,0,3,12146,167696.0
19731,269,2012,1,1,44327,93025.75
26196,246,2013,0,0,76470,93025.75
18008,40,2018,1,3,350,164358.0
26329,187,2018,1,1,16252,136751.0
11176,119,2015,0,2,350,83227.0
16794,80,1994,1,0,66444,173977.0
5168,102,2013,0,1,10621,56526.0
2055,199,2010,1,1,49533,93025.75
12678,45,1996,1,0,66281,220205.0
18082,127,2017,1,0,350,74717.0
3014,110,2020,0,2,350,125114.0
19482,119,1991,1,1,13226,93025.75
22805,235,1991,0,2,140449,93025.75
24123,105,2002,1,1,64902,93025.75
16939,9,2010,1,0,350,93025.75
2359,94,2004,0,3,20990,86877.0
4236,26,1990,0,2,89507,30490.0
22869,163,2009,1,1,18034,93025.75
10451,221,2002,1,1,151323,93025.75
17259,195,1993,1,1,118378,93025.75
20176,58,1988,1,0,43448,93025.75
21362,231,2017,0,0,74002,93025.75
18486,203,1999,1,2,60027,93025.75
19594,223,2007,0,0,350,93025.75
27994,217,2006,0,2,54926,37836.0
24076,189,1994,1,2,350,193422.0
16526,246,2020,1,1,11316,61373.0
8217,269,1994,1,2,350,166724.0
19843,48,2009,0,2,350,93025.75
2111,212,2012,1,0,350,93025.75
10429,154,2015,1,0,48578,93025.75
22029,244,1990,1,2,134379,68774.0
26525,239,1993,1,1,99041,93025.75
778,225,2009,1,0,350,93025.75
21215,52,2014,0,2,35668,113070.0
19976,204,1992,1,0,123690,80181.0
8940,183,1995,1,2,124439,75543.0
10558,0,2014,0,2,38555,58221.0
24958,167,2019,0,2,350,75662.0
9523,12,2004,1,2,350,93025.75
14437,187,2006,1,1,55963,116482.0
28823,133,2012,1,1,66026,136204.0
18660,223,2008,0,2,46050,175840.0
65,34,2011,0,0,25046,93025.75
23650,10,2003,1,0,17901,111207.0
23902,134,2009,1,1,48107,118943.0
1273,78,1995,1,1,76777,93025.75
17689,60,1993,0,2,37676,144987.0
8865,109,2012,0,0,350,30490.0
10330,242,2011,0,1,10481,98939.0
28870,167,1989,1,2,99401,179443.0
20289,70,2010,0,2,65671,52873.0
18123,67,1995,1,1,30702,80657.0
4926,64,1994,0,2,23602,69856.0
8781,145,2018,1,1,36200,93025.75
23186,12,2012,1,1,119635,93025.75
10373,58,2001,0,3,14730,101037.0
29762,31,2017,1,0,55947,93025.75
29508,151,2017,1,1,29871,116292.0
14589,229,2004,0,1,37196,93025.75
26343,262,1991,1,0,85488,93025.75
16464,46,1988,0,3,65277,93025.75
4617,162,2002,0,3,41166,80854.0
27228,32,2000,0,1,77509,159196.0
9825,127,2010,1,2,350,30490.0
11160,135,1993,0,1,104254,36936.0
7514,60,1992,1,1,38690,93025.75
1805,220,2002,0,1,5904,172496.0
2269,270,2003,1,0,350,51680.0
25915,90,2016,0,2,88682,136617.0
26960,163,1993,1,0,45331,30490.0
27489,34,2013,1,2,350,93025.75
20348,233,2015,1,1,350,44241.0
22260,224,1998,0,2,36901,68301.0
15482,202,2017,0,2,82942,67669.0
5292,159,1999,0,2,24310,210362.0
3501,74,2018,1,0,82705,30490.0
15056,29,1995,1,0,10109,46504.0
24794,48,2018,0,0,350,93025.75
3535,184,2013,1,1,350,93025.75
25961,20,2003,1,1,40237,102784.0
17864,107,2000,0,3,8827,93025.75
9559,224,2015,1,1,70924,30490.0
14456,190,2016,1,1,350,93025.75
5651,205,1993,1,0,70163,117614.0
4175,72,2013,1,0,350,93025.75
198,240,1988,1,0,87396,93025.75
4625,3,2016,0,3,350,57447.0
11413,253,2020,1,1,15674,106399.0
6620,65,2006,1,1,350,156120.0
10415,14,1995,0,1,47674,135878.0
