,selling_price
22463,126655
22431,54367
9287,5000
13844,5622
19112,69827
26622,37749
12266,42806
22394,76596
8650,70730
9467,42802
17212,95386
5155,5000
12400,176876
6651,51710
21739,5000
28249,5000
28442,10433
20200,135948
28970,79838
12364,77964
9922,75077
28638,5000
15079,5979
23786,33202
19929,151016
21271,120189
7732,6685
11105,197760
27303,26824
1536,5000
3780,74841
10321,5000
19461,31710
356,42082
12566,5000
3497,38497
9741,110897
25,5000
5518,5000
29757,65525
27225,116569
2402,44978
22474,5000
2530,29828
9787,137873
21796,118854
27591,91980
1704,19263
11359,172559
27550,140014
19526,125152
4780,131115
25802,11921
25713,5000
16017,21052
20624,90793
23336,18221
7923,35782
14514,102454
18526,37462
3402,37008
17375,81276
20298,143760
28158,64420
23925,95139
19098,57214
3914,91599
21575,5000
6877,5000
3553,5000
2827,39643
3567,39378
14818,12545
3679,5000
7440,22779
4262,56150
17771,52366
14599,5000
28316,5000
13058,48660
3759,131168
4582,83976
8227,195879
20244,74970
21027,44344
16940,29386
7389,82779
28922,119176
21475,84210
3617,89391
15770,34803
20316,138411
16011,5000
16280,5000
2160,37274
8561,93944
12370,75386
26252,71187
13682,86917
10934,109666
13965,95506
17937,43852
1106,79791
24741,5000
10813,14739
6875,33909
7520,88562
8863,115123
17099,50215
6549,5000
23387,32520
23910,5000
11987,32424
8112,51877
16266,29582
25112,79007
9860,66583
25558,5000
25769,55217
7109,22723
6891,39264
1087,5000
2891,67161
21702,105260
21764,157601
1270,66156
11323,105707
20119,5000
10561,78699
24358,92708
26463,78369
28360,81678
7852,70000
28501,27957
17607,5000
6349,57923
22485,16689
2457,9289
20651,73281
18857,161445
1095,5000
14390,162701
25094,65856
19930,66878
21058,5000
18739,116548
28297,117830
23598,39881
5411,43169
13859,39341
8431,5000
20255,189494
6550,71504
14469,44116
29726,28248
29429,66945
7542,65720
11790,138835
20057,5000
14996,81599
26847,138499
2152,67215
6809,43594
4681,84562
12032,51928
29945,34775
9110,5000
15177,125612
29182,33834
3328,25134
6800,25887
12407,146356
7870,99033
12098,5000
4306,29745
2506,12168
22147,32900
2731,5000
5483,10062
19352,28437
1933,23443
26919,88060
29016,13225
20491,86119
27499,72539
16381,90543
19889,37910
27988,69232
27936,83787
22741,27207
28273,84608
15232,37349
1276,116834
24207,11747
11191,155554
185,57960
27886,110936
26561,17866
25311,5000
28849,52254
713,79941
24232,5000
6591,83168
17406,74630
12182,46634
1823,52717
4107,39943
20550,5000
29878,83211
29825,87649
7872,37964
25100,135242
28833,78216
4345,100267
4588,5000
24061,130234
21438,108456
29353,113262
10926,39716
13772,5000
3537,73525
9978,146832
22969,137122
26621,85494
22565,135920
19465,110461
5838,45356
22261,72265
24501,47774
3572,95267
23426,30986
29759,146924
13305,10382
26630,92221
21055,5000
8722,128286
23404,5631
10065,45454
895,110963
4264,114582
13662,5000
9012,70538
16956,36781
23472,54950
28783,54587
29212,31595
24598,5000
5412,150874
29830,15774
25809,5000
17863,153017
24713,5000
22299,5000
13067,116964
26739,13981
1468,88064
4375,58190
17145,55354
20874,116204
9261,82539
25554,97966
20852,5000
17292,30109
10914,19600
14133,45884
7205,48851
15012,5000
6810,26914
10852,153780
16242,82041
26718,5000
17306,5000
11056,65737
12493,83396
14850,56489
25663,49961
7902,76228
3057,58904
24768,156986
12907,68368
1277,105789
26147,137797
6688,64410
5186,5000
1465,5000
26326,53588
21630,60318
28451,5000
29541,5000
17330,154837
22061,114701
13782,84145
22885,39398
544,70413
15616,44777
20506,128841
22374,5000
22984,187100
11200,5000
23379,5000
23045,66102
24292,77833
15236,45205
10320,208296
25674,57392
22817,71985
17362,88481
1066,29769
15639,58475
2671,32983
27453,153240
4486,5000
20429,14588
28163,35181
23966,157685
538,130284
22908,75913
26612,51215
24680,109721
3705,5000
25278,140863
20949,134824
23906,118050
23077,58214
2290,34948
20998,86805
2986,100843
25414,33140
22387,101497
11371,54215
8927,13444
21149,30297
22453,112303
21531,19779
23743,118007
24477,56938
16085,9397
20641,83454
21358,5000
22813,23510
8881,53314
9093,30176
5158,87648
21460,92047
2975,46935
28852,5000
17822,174266
6612,152688
13811,5000
22698,101685
20134,54536
10333,75957
9453,5000
12931,58060
16669,67765
11937,54913
1283,91131
34,74826
872,27198
4561,5000
395,151668
14068,62442
4799,75561
1347,5000
25791,102413
12044,5000
6918,5000
17121,5000
5172,7524
18633,63178
5787,113394
19703,102430
10781,5000
20727,5000
15155,90597
24363,151075
28405,32904
23092,67977
23276,5000
22588,89997
11154,5000
4016,100308
17523,25591
18153,149964
9010,51838
29171,18282
2876,44102
2350,5000
7029,40735
1515,110577
11646,5692
24175,135743
3926,44723
17841,58324
18830,42902
26533,43198
26551,26397
5228,135465
25654,127872
6252,89781
16429,5000
8196,149999
3625,60852
3010,55348
2002,97173
17029,115353
3017,24375
26838,5000
23826,5000
4341,88383
21094,110780
25510,211734
23308,139913
10734,85538
1908,30783
5232,16637
27184,159445
19082,58208
24052,43665
17706,144857
11778,5000
11683,65254
2954,55364
19297,5000
24472,5000
961,157892
24331,73561
24272,121974
24142,5000
18401,129430
18026,5000
11113,16364
2130,5000
13302,172947
12755,5000
4972,113439
19051,62995
17559,5000
21128,29903
23278,25921
28053,5000
17498,5000
23275,61011
574,126567
6901,37064
7516,18332
17458,37694
16134,135943
1213,55161
2013,5000
10510,109149
17309,171994
11863,5000
10711,94179
7863,22834
12539,74154
13045,5000
25572,142789
15952,193092
4385,5000
8185,42544
25641,33024
16396,56889
24077,88365
28824,5000
27177,34290
10178,66069
9162,145449
10695,38189
28322,5000
18721,35838
27773,13925
20768,15953
12076,78080
23120,49415
776,76882
3854,14774
1466,33303
1570,52606
17925,56849
11736,69074
15191,67734
9186,5000
9910,80615
4597,78658
16619,34953
27263,55286
5708,5000
25057,44337
3485,120622
17387,147720
528,48817
9939,172315
21403,118521
1950,103684
14986,37410
17617,5000
12484,129722
7360,116331
24514,100627
12413,53143
11884,5000
11856,84484
1914,98256
5473,83546
8675,153770
21341,14598
23930,33190
27197,9054
8154,111976
18278,5000
11288,93597
9573,12775
12459,138047
14138,100136
16320,94610
4099,5000
23538,5000
12684,118974
27173,43946
8116,85898
22914,82435
29818,102383
25732,97366
11796,6889
3421,6017
2983,118776
10008,68572
22818,5000
2365,21499
12972,80961
24210,23382
2460,80187
20525,5000
18864,39747
20407,119565
24913,147086
4019,83671
16716,110218
25630,117970
27846,5000
29695,20910
8314,135162
1602,23882
15663,207777
28884,145857
23991,18472
10476,57359
8126,80669
1693,91198
19392,16845
23661,64740
7864,66821
23607,37626
9760,61692
21063,79384
27295,145088
14546,41000
8337,57989
14438,5000
11537,11646
16056,53914
11454,55598
16993,81791
938,80351
22424,102429
15247,109187
19794,119633
29307,106261
2760,7013
5529,117383
21378,24650
3594,5000
5459,5000
12921,12717
2847,74409
7014,153733
13287,120035
19582,124961
22515,152594
22994,32965
1761,91539
12622,43850
16038,40489
9636,125303
21827,9442
15211,155815
26456,63364
27621,5000
11469,20483
7518,120741
9262,66252
18879,63708
24928,68978
7055,38900
6790,27974
190,91958
27861,77078
17512,42561
6873,73257
24200,32847
13466,126176
13551,112776
28866,59369
4392,81727
9064,55152
24048,52902
8825,97349
27874,86895
20893,144827
19817,52386
9217,42066
14061,155763
988,89013
3341,83419
14844,64727
24865,51708
29497,156374
17388,31090
22652,14097
3266,5000
11740,181145
23543,5000
27435,88747
12671,108674
7705,5000
13557,122044
7206,151279
28624,123232
8790,28688
19367,57293
17246,96869
17461,120402
20047,123785
14346,5000
13353,68330
14035,39959
6599,182146
13030,5000
8368,181775
716,64231
2076,87681
28006,100833
29386,44866
12334,122283
7468,26410
26153,5000
27578,106777
20269,35845
22400,11191
13376,187127
18263,11427
28452,187520
23983,47380
1232,5000
3947,99276
22539,41352
11649,29621
2789,71639
17393,71987
3493,61436
9132,61353
27145,5000
24836,47011
13957,74433
21678,52753
21210,62229
3534,126124
9176,31804
26336,69097
5913,45195
15955,90224
27805,37172
7749,66971
928,66461
10687,44333
6368,96636
25335,88915
7703,80283
6789,116419
29735,85344
8820,37455
16970,39235
23959,125636
6746,175242
27399,5000
15514,82707
23189,47721
13085,33191
9009,144211
6499,5000
6788,77061
21333,43230
28684,124258
4133,123836
8936,54766
3803,188662
13756,11427
18713,5000
29365,53462
20447,32077
13807,17424
28002,22638
12457,53773
21219,5000
19049,10829
12080,31887
11594,30470
9510,116163
8713,47753
24864,178391
8597,27917
28220,158477
3600,109290
4565,116962
12308,5000
8223,43844
17485,65282
25131,69182
29776,7863
19351,5000
5511,58926
19837,110287
2874,5000
17232,141787
27833,111165
29380,5000
4221,105102
19240,5000
23079,69980
25626,5000
12591,5000
16491,33011
455,53899
24439,210163
4437,103714
28627,75060
13389,48663
19908,97026
19600,143632
14157,63553
17919,41819
19885,59796
3158,134449
6510,59371
13987,89172
9370,49393
14614,5000
28583,88634
24026,34663
26289,37752
16603,40287
29389,5000
8365,152898
15943,100472
17139,72798
17506,5000
18628,81309
1629,43703
20135,5000
11931,152032
22103,86462
7019,128079
10997,85177
19081,5000
12422,51346
17748,115793
3412,5000
14257,92746
21926,104339
1082,5380
19102,58455
801,63615
14477,35762
1308,56895
26964,95043
20401,91701
23183,46630
13050,90277
25412,131050
5030,119272
25113,68102
26719,97939
19542,5000
4919,35148
4656,5000
16599,5000
2150,57993
17869,62220
29987,55617
29814,6349
23599,107692
8325,78204
11261,5000
635,52540
7773,5000
23584,54956
14381,66317
20376,75485
15898,142430
19432,70376
26586,85439
24974,58143
24593,5000
19647,142157
2746,144334
7145,107260
906,20942
14509,11010
22545,103903
11952,54091
17247,130553
11610,78604
27864,96846
28796,59566
28102,11278
2825,36764
2267,49478
12377,20147
3123,36921
11829,78007
25849,53451
9700,6120
14037,86224
29444,47593
1494,108931
24426,101154
29404,26312
12321,50136
191,61246
7095,86369
29471,40552
16235,93624
9175,5000
28616,33117
17768,5000
18842,14119
17634,101740
13430,26947
25405,92667
11720,79929
14684,5000
16808,65732
21997,145639
26948,21966
1399,93667
6677,109770
2570,5000
5270,97431
7317,35237
25296,15035
19188,5000
12576,5000
5664,87196
6269,5000
8590,30708
27908,38150
18257,5000
16753,16107
16116,54456
16150,101687
27108,85881
1265,159619
13455,46006
19890,52095
27219,33919
9423,79374
7934,107745
14378,33289
9253,5000
2642,5000
12954,25658
874,84286
10985,129952
24817,31454
6338,25942
27044,83747
16167,70516
19110,142691
17791,131237
3845,76193
9100,78894
26490,64687
13812,152621
5939,124180
22427,61360
14827,68094
7458,156667
8648,40944
15802,8464
7168,77744
17915,5000
10668,122770
20657,89610
6586,82654
17866,37656
19935,99561
25887,81558
19176,89746
7490,88904
10609,35072
9160,96970
29020,70505
4818,6955
22041,87440
27876,64551
7254,61655
10325,43008
5863,113545
3472,121414
18736,153893
7221,5000
13468,12878
29221,16722
12938,56652
23985,21702
26036,49059
6606,19538
12434,39601
11180,5000
25503,32812
11509,96199
13672,67296
13281,131251
24835,102913
17720,66265
13448,22680
17732,73369
7025,23335
24577,46850
8265,69102
26701,115904
25521,61377
28026,20473
8430,89639
18573,28381
11055,162511
16590,44830
20653,155859
27606,5000
6730,64090
26642,88727
5602,53580
5006,90024
22016,18630
13566,99771
14953,37766
15650,30825
2902,5000
10535,41292
14071,124960
7741,33827
12736,72284
17555,99638
28171,81669
4125,18136
27171,84447
12893,199838
11407,43021
12185,68779
11727,97809
10858,102822
23876,132046
20395,126210
189,134350
10543,28670
16449,5000
13370,147575
12639,5000
25562,114215
18075,5000
27050,61116
22740,49943
1868,155630
2171,5000
22760,17368
16147,63013
23027,97388
19649,5000
17811,109298
25497,151796
15375,71657
534,35461
5924,5000
21249,10043
7948,78793
4030,5000
20544,150987
13225,122762
4235,5000
11848,17942
4455,102010
891,88799
5327,22983
6866,33167
23537,5000
628,24695
3227,5000
1611,11365
27157,5000
15053,35892
11452,92447
828,132847
24772,5000
4062,44740
13979,5000
20821,123845
12640,106406
24737,112900
21556,106477
23860,33195
21836,5000
13356,156261
16934,174336
15576,34695
27383,60805
4549,29337
13415,99609
18381,79018
12179,94593
22277,65625
18022,97405
21029,112649
7980,35938
26200,177799
12508,66652
12937,45536
28760,61437
17311,110106
7958,5000
7937,42842
9290,82986
1578,151015
16237,49050
12888,76967
4676,5000
4855,21864
15569,5000
24978,60247
6221,20905
23646,92486
10720,62094
13792,89205
11324,5000
24260,5000
4629,101511
8139,116354
29213,5000
18488,34776
14889,17252
23970,67906
8848,86048
976,65453
12916,33787
15445,21727
22567,54199
5654,107965
25975,8978
9950,82528
15649,132590
1931,129799
24502,88315
21852,85606
5017,129098
10963,134427
17924,5000
12110,110315
334,81086
2006,52178
18901,5000
3674,57514
8452,5000
5864,69054
2409,5000
22845,129872
8485,29704
25944,132393
9173,58943
15532,57155
29227,78440
6062,94681
16870,5000
18417,186203
2637,56854
3750,53098
22837,24668
18089,22176
5892,5000
10771,88455
27802,137087
7925,5000
2882,5000
20961,20708
8198,40379
8469,85042
8548,5000
14099,34385
23267,137506
6629,56503
11547,37847
14183,5000
23820,5000
11342,24081
3276,26922
19744,42574
26466,67961
24163,23311
10956,126451
7668,40939
7309,34784
9974,95281
1869,51647
2168,52728
14537,100320
10765,48902
14379,5000
16155,205358
1768,85358
15824,47359
6971,151018
20887,86387
8408,5000
25850,27091
11156,37881
14794,63098
8442,123190
17566,5000
10229,93391
3771,126752
23992,14019
18230,157590
18849,42519
13667,7572
9503,64191
20189,103012
533,41689
13046,77344
14145,54049
23885,5000
8900,91258
343,142913
2339,126150
17368,5000
5569,77915
16505,198308
11613,29427
10532,37392
25540,5000
19913,62770
23725,47128
27442,56576
4201,111186
18622,5000
24445,34216
7950,72884
12515,93984
18106,64390
20820,27348
1413,72219
19239,43801
9593,98304
28740,53143
27239,5000
13875,23563
17136,187648
2445,69255
26026,67700
1989,167372
256,15529
20785,25658
4581,156331
21602,122721
14549,85379
18774,89667
18785,25622
29078,5000
10379,87764
9892,32753
29229,38963
28373,65638
7776,5000
27038,5000
20312,32007
10296,32739
2767,5000
4126,49282
2189,124914
9409,53677
21681,64810
4660,9808
28775,34869
27608,5000
12584,151042
10140,150894
10694,5000
16265,111518
7491,78582
1503,44242
18907,5000
1927,33407
13808,58917
2645,81079
19141,146391
10444,55010
22810,5000
7298,43038
15534,10452
13869,127255
4200,5000
22947,72645
6488,45267
26392,110032
299,5000
5019,168406
24723,73830
8101,120191
26618,60083
17144,37340
14362,101644
26993,90486
27958,5000
2373,53954
19803,73015
28015,54490
21939,5000
8646,131841
20262,24802
5183,75327
15280,136136
2909,5000
12529,91275
9494,75329
23746,41759
2016,93885
29003,123776
17682,192858
531,8964
12734,13642
28515,157997
25173,5000
8201,212179
11830,5000
13066,59312
18283,95148
29815,49097
10850,80669
3143,173538
10802,85415
4494,41785
17658,71520
17033,48922
21082,48550
1507,5000
5341,37826
6023,106818
25528,14367
23685,22275
20987,117433
12978,109119
20275,90809
8602,51146
22112,113747
9136,5000
16367,60856
2477,145794
7530,92654
15699,5000
19792,5000
5553,187999
25781,98730
2635,68683
3034,5000
18749,82813
27415,46300
18494,131160
1249,5000
14824,5000
27024,171294
8838,65697
29116,5000
8105,80037
10665,135258
28244,17002
3109,11961
6335,15127
17229,29542
14692,28880
7577,5000
23179,39797
2540,17248
27021,113059
26852,104435
10767,194646
852,74120
13047,85384
7470,40678
28175,51174
13388,18465
19008,41199
14004,5000
13034,159494
24303,11671
1215,118484
14770,42177
10555,74543
10160,109183
23243,130164
24074,29448
17798,21892
28079,33277
12638,77765
3669,5000
16061,103709
11571,40603
21422,72034
16598,81177
3028,14494
26709,35879
26791,92040
2224,132025
11838,5000
24657,158860
17692,151330
11582,58206
3725,5000
20194,9499
20750,71334
13821,11943
25921,37221
16656,95213
23407,34411
23961,5000
14422,91903
29504,20412
7216,172286
25919,5000
4151,5000
5482,129867
25411,44415
18484,5000
3126,113112
16977,88908
3680,43107
1376,100149
19858,121505
16512,9484
20658,5000
22051,48994
1083,40452
8542,94000
21361,101683
12302,67179
27625,150279
1806,5000
3449,5000
6726,52800
15888,54277
8125,70959
9045,122918
12739,5000
22423,133409
10297,58729
29736,43424
4020,6324
2618,87304
7683,22592
11104,148194
23445,66638
4943,190467
29677,58427
10145,48539
3714,16801
5862,73637
19806,46739
19907,5000
13637,160598
4996,28791
10713,6417
338,109262
22573,10358
26199,67421
26930,77724
29702,51703
16123,54827
22562,128837
10764,5000
26755,50604
22493,58986
14159,62903
1692,161686
23873,55452
9685,79096
6132,34671
25564,13971
20575,125809
11493,166066
25227,90701
18038,117124
1016,61743
12506,35524
3021,57770
26461,53313
12350,68234
12365,80251
20389,5000
26430,128725
20363,135085
23799,186343
20095,122321
26912,75250
9366,125621
25253,5000
17877,198895
22340,5000
7294,76758
20450,136813
22806,105916
24014,34167
11534,111300
16204,74844
8089,56853
20027,33975
1368,86572
6129,154525
5813,5000
23839,41380
19097,5000
2704,67979
18036,78919
13418,40495
25212,5000
294,5000
23592,27901
237,57721
19508,50133
19246,91370
20160,91759
2516,63220
3411,89953
27343,102552
13234,18222
6923,110661
16366,61648
1638,140373
24649,77898
16689,35680
11108,5000
26523,36157
7927,36971
9604,160267
26052,179679
13061,56846
29300,49701
9091,5000
19412,55029
8055,66752
6614,23748
18299,95025
1485,12550
13478,7226
14078,17527
13889,9521
6645,105340
3237,131365
6996,63528
16925,5000
2779,21171
29790,57229
29258,167751
2804,95879
18135,5000
29397,122846
28580,65597
8826,134597
25589,35794
7682,134863
28995,5000
15734,5000
10105,105610
16548,131879
12966,131801
20399,51987
1149,5000
23303,21100
24383,36444
22720,49301
18897,102814
3888,23473
10854,127490
19457,134965
7082,66099
15751,54235
17243,41646
16697,85108
5657,137254
13414,71514
12108,26908
1484,10231
8754,130715
25074,11179
15798,160933
27808,5000
25693,104475
17666,122084
15192,76647
8917,107720
11962,5000
4510,39343
12073,24467
9643,88666
27223,5000
21294,161790
15089,103742
10155,5000
17213,28546
1652,69972
3035,196160
16506,8983
25893,107690
20147,74991
7521,170202
27941,5000
15543,49975
1892,51310
10859,138045
6542,59628
13233,151645
12337,101639
12112,28705
25428,153141
22930,52122
1706,5000
17186,93095
29510,100279
27815,5000
19914,49082
26774,39972
12685,95485
5489,5000
22910,5000
15994,5000
25609,80751
13104,130036
22991,5000
9365,167754
1072,111377
25810,89462
14461,24534
27462,70090
28036,5000
4774,65893
25011,109452
27792,5000
6179,115121
5744,61054
10984,108867
29634,9478
27775,160600
13896,106900
25349,39696
1349,78358
17280,67568
28876,61155
9158,22184
29167,5000
7786,98840
23581,100449
29268,85659
26492,62640
21746,5000
22289,5000
6532,107493
8165,77690
6142,64050
1907,126962
22330,77328
22618,43076
9112,34231
10034,15645
13130,5000
11482,29769
20490,5000
7884,67231
13759,63027
9747,5000
26331,81605
5978,5000
3214,28567
28101,89733
898,105760
13962,6645
14817,12381
23817,84621
4088,46969
15666,126119
17712,53100
27904,65665
13938,98389
26173,68049
4591,5000
11224,167368
3980,5000
16528,64222
24867,50503
29841,71413
24237,50087
14327,106231
26955,41864
16431,5000
8497,145198
2101,86493
5034,20773
1814,100969
5616,57746
2454,49687
5684,24639
18308,154687
1836,69078
25541,70086
27884,229754
18646,164938
26999,40462
16492,97331
23341,153562
4278,5000
3245,5000
3025,39902
15644,28927
29095,163235
9406,67995
28437,37434
27726,42124
13241,5000
12118,147024
22378,96446
19338,5000
23486,33928
28087,18904
3153,77228
820,11557
24866,5000
4815,70109
13043,36144
19713,5000
12613,43535
3030,141268
17718,58137
13780,48582
29304,26727
7139,63948
10202,27838
1121,28015
17865,76362
13147,5726
24218,93891
29313,5000
22924,39701
25143,5000
7357,100569
20939,65445
6561,120272
29238,39065
29100,38191
23653,130253
4519,94042
27924,113331
18142,5000
20364,5000
16705,28535
5965,167297
13834,51804
2059,12150
3596,5000
1092,137724
2004,58018
1112,70064
25177,5000
3217,48710
20096,120296
5524,62615
2331,178574
13167,79729
28259,6309
8634,25646
2119,43657
24306,5000
20609,69033
26448,57752
4704,81605
0,23895
13722,41531
10823,77873
18002,66691
18037,128770
16572,5000
11733,51422
1910,125607
23398,68795
27216,5000
12853,88707
19579,46761
14436,80051
8840,74864
13618,43022
17759,134590
7219,5000
20615,38062
3896,89879
26170,20732
15315,112549
15512,24432
25152,102501
1795,168045
4246,50072
16843,93796
23353,33286
17995,79690
3461,190297
11208,42341
16860,5000
24039,22192
8377,44366
12082,5000
12039,21047
25401,20228
16427,142027
22248,47284
4190,40649
15869,116746
21160,111657
2030,5000
21320,103212
2869,47837
9377,119748
13070,88996
21714,105585
6544,113396
8168,117574
7154,98695
25931,178143
27706,135534
8974,87676
26568,76735
26385,145219
15917,60329
27035,84406
5780,70339
753,45164
23007,28038
16010,5000
14029,184177
2089,119389
8668,12922
28704,74824
8710,5000
22178,5000
10886,119874
22471,5000
27318,49862
17444,115703
19880,31117
13681,125059
5091,61306
7847,83711
15927,61031
26278,5000
29056,167762
29627,19841
1504,108455
4240,74664
7699,83086
11068,63445
6792,104242
6814,126025
21988,147039
24749,50419
7115,131286
29384,67454
27761,60074
20248,123342
7513,48144
14582,23911
21297,229729
18649,5880
22404,131525
8731,81625
921,116483
23004,60455
27580,88118
21159,120134
16478,57874
13405,29705
2953,5000
20150,5000
4612,92907
26125,67847
18085,108572
10957,43798
10770,135011
24401,84893
10924,173975
12268,74050
27500,5000
23609,58911
9442,149998
29524,67239
2551,140512
958,82536
26817,37391
24271,31396
17268,33917
18822,124689
22647,5000
18457,54643
24507,102575
2412,5000
11304,23349
23753,54348
13604,5000
28229,30885
8175,81144
10662,24748
11072,98025
27940,7626
12235,56266
6748,174242
1391,121538
8147,122129
3959,82332
11258,54480
3055,29654
19443,131078
12114,82516
17527,129110
2126,5441
9819,23385
10671,110232
23342,62871
12221,38904
27939,161192
1617,125019
8074,12033
12031,97119
25548,156159
26006,110018
3170,173099
1214,141672
18476,5000
7890,6767
12144,48025
22549,53069
11644,123290
13924,47119
18637,96936
3127,97612
9498,45004
29288,5000
18384,73494
15907,117845
19343,169555
7337,48088
9398,5000
482,86074
24962,67320
19977,70523
25347,77315
6545,14117
10547,5000
10822,51251
28392,49165
13564,62830
18694,70998
13635,52847
3909,117729
14911,46730
29649,82947
27987,87520
19287,74304
17258,82383
13835,5000
24013,77255
26008,5000
29239,53161
7936,154181
19695,112222
18201,98335
25444,63047
14462,185728
19879,122034
399,121067
28207,172282
19816,88625
21834,39231
12216,19175
2217,115838
10783,131754
6444,104605
23463,15942
26445,52888
22550,5000
24860,67387
29001,45186
10912,64576
10604,5000
13456,27085
15797,62310
20863,59668
22072,172480
14425,6776
24690,76573
26659,5000
18923,18582
2647,110998
20197,36686
27890,159575
5717,74927
16831,162755
27935,120787
13882,21954
2338,206904
7198,118852
9597,14712
21741,83149
29958,65533
29339,108820
5051,5000
11832,126131
17526,5000
7918,18135
21419,139932
176,46435
22876,20305
2444,5000
24515,5000
13398,104847
15241,62255
3457,52548
10069,24926
11995,58080
6475,5000
28043,129162
7606,5000
22680,24647
14377,86251
18625,5000
20930,15370
27279,60463
1318,104374
12602,86726
10409,77067
18081,30741
3865,53482
21534,95333
13620,34394
786,5000
21376,107844
19659,19387
3342,226088
5702,82275
16340,21198
15087,51593
24721,75412
24968,125990
20236,109868
13651,57661
14992,50345
2835,5000
8486,5000
712,5000
4639,119168
867,100414
5747,49760
26057,75744
20779,5000
580,5000
24699,94588
22509,33589
24206,70056
6710,5000
28455,50131
25733,84713
11091,167416
16765,80918
17027,104297
10586,96137
12135,56052
24486,48059
17357,56710
16421,13746
24615,50112
12113,33276
11811,16467
15776,85161
3648,73610
22761,50764
24574,9241
22408,66747
28320,137978
24903,113988
28349,28096
112,5000
26293,12562
12861,50825
950,70560
8274,5000
1959,76966
14863,55870
13323,20661
26305,22305
27819,14999
28937,135092
25223,103196
9323,44241
20271,95332
5900,18979
7404,146952
1906,50904
2998,37019
9474,35584
19310,120548
1753,66507
28848,20381
29301,116369
11246,76688
8313,93374
26000,5000
22366,10107
10201,78430
13166,22082
2213,74245
9499,5000
20082,130505
4111,123247
29196,109892
289,16608
17806,109288
15029,95830
3271,117287
3145,131672
13625,117963
20476,34351
13775,127448
28388,56443
11341,43230
5143,25344
6458,11333
5068,127636
16536,45777
26653,71266
28469,6087
11053,5000
7586,115535
20485,62727
2380,84828
16516,7297
25305,84454
22603,45786
15171,153238
11147,115528
8624,85695
2443,99747
15631,44757
10675,134996
16892,11986
17487,110020
5568,150323
20208,125431
1160,127935
19599,70583
2536,85403
23002,78969
19970,50246
25885,5000
22269,65739
9381,64857
987,5000
17110,136560
27617,10485
17038,119250
17047,5000
5120,49034
42,30451
13257,5000
7227,111340
8832,56651
9847,46185
11632,82122
25487,64967
9437,5000
4828,59262
13220,111570
7467,164823
22476,49878
8968,75647
1969,5000
14464,37794
8954,76841
6657,98690
14748,93655
10730,33019
19276,65213
27748,50606
12189,70695
19573,5000
25594,45674
9890,5000
21520,78039
18455,5000
21655,61247
8291,20691
5214,44361
18485,81972
20471,104703
4284,109157
29692,136831
29761,46474
2985,141179
15015,49605
18468,64691
15228,13969
16125,5000
2175,41418
25217,5000
7862,5000
15859,84246
17951,78407
18396,28926
18538,100768
3496,5000
28693,152869
16205,109841
12483,56629
1269,95363
25482,154973
4298,89746
10295,50328
27800,49849
8033,60868
1949,5000
4377,35056
16271,217887
24006,49758
8812,130613
13238,118982
16084,48402
11254,67521
16636,5000
17049,113028
18444,25385
1879,5000
5859,5000
11514,43432
22547,60682
18300,162647
12123,133588
29372,75054
9602,35327
14062,11474
15363,66023
4171,149663
24180,5000
10156,65917
22931,67385
26723,75840
2473,148782
12183,55508
2873,68752
2389,35687
9356,186827
7066,91408
1747,5000
17100,69544
14886,146207
24989,32298
6239,180870
23464,5000
29459,152342
16927,51300
28948,83190
21351,66141
7414,147014
3393,61676
13379,80863
3766,81226
19711,5000
27123,34291
11807,26232
702,67722
29174,117889
3735,5000
271,19100
20976,42307
24648,108759
11210,5000
13848,120986
21954,5000
6888,103953
14405,124463
6670,5000
21589,5000
15784,57025
14316,5000
18627,41349
20620,76789
27310,151190
29455,202131
21479,109105
10851,83264
22170,83812
20904,89384
1789,117432
28467,5000
19644,57460
8853,74004
25925,37797
11065,5000
18575,5000
2458,5000
9315,61486
1081,5000
25863,5000
28877,106179
20954,5000
12852,121320
5056,137266
2153,71445
7908,83116
7706,5000
13419,152414
7356,144933
24044,75262
26793,64477
2405,88134
9856,124688
27472,5000
20744,5000
15999,47226
20869,16754
28944,106009
14444,55937
14119,25079
6693,94045
12466,75309
26049,5000
8479,5000
1454,48065
11814,29553
18962,50296
17163,5000
22602,79499
18818,75731
21072,32071
1982,123596
2938,5000
17013,129591
26102,123184
28524,5000
29562,58289
16981,131677
3581,77999
9458,72247
23727,5000
28235,84022
12766,88100
1824,77198
7281,59107
24487,73806
18915,103117
26117,82821
10635,73920
16089,27671
38,40905
23081,62861
7286,118085
15721,21942
10648,81608
1897,117710
3267,104756
5011,25795
25892,5000
19248,62702
5595,5000
7796,59407
24941,30248
15490,5000
27286,24972
6464,159421
15966,36114
18096,5000
17031,91939
8664,89555
9879,79654
9880,100027
7613,5000
4837,58681
14493,64745
1254,55594
16932,24405
9614,210169
26009,111408
15233,5000
22363,36140
9603,103976
17577,65607
27665,133002
13725,60110
16646,10999
20464,26196
7144,168738
14758,5000
14468,5000
8630,91620
29057,5000
13805,140327
1775,38622
10452,5000
23255,166543
15519,65586
17479,148177
21283,5000
29033,78382
21675,13833
11576,197159
27917,72089
9723,126198
9130,33410
5254,33926
20424,5000
2988,8200
10493,81269
15515,145138
10372,62995
26977,86482
18275,5000
8078,27322
29661,5000
14641,98163
22368,37361
23597,135237
3432,5000
23302,5000
23613,26244
